indicator,country,countryiso3code,date,value,unit,obs_status,decimal,pais,indicador
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2012,36.1388778686523,,,0.0,BR,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2011,37.9922561645508,,,0.0,BR,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2009,38.4933319091797,,,0.0,BR,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2008,38.5554428100586,,,0.0,BR,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2007,37.6591415405273,,,0.0,BR,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2006,37.1324005126953,,,0.0,BR,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2005,35.6812973022461,,,0.0,BR,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2004,34.7383003234863,,,0.0,BR,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2003,33.2318382263184,,,0.0,BR,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2002,33.2892951965332,,,0.0,BR,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2001,32.8027076721191,,,0.0,BR,1.0.HCount.Vul4to10
"{'id': '1.0.PGap.1.90usd', 'value': 'Poverty Gap ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2014,2.10367441177368,,,0.0,MX,1.0.PGap.1.90usd
"{'id': '1.0.PGap.1.90usd', 'value': 'Poverty Gap ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2012,2.24314332008362,,,0.0,MX,1.0.PGap.1.90usd
"{'id': '1.0.PGap.1.90usd', 'value': 'Poverty Gap ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2010,2.72374892234802,,,0.0,MX,1.0.PGap.1.90usd
"{'id': '1.0.PGap.1.90usd', 'value': 'Poverty Gap ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2008,2.79581761360168,,,0.0,MX,1.0.PGap.1.90usd
"{'id': '1.0.PGap.1.90usd', 'value': 'Poverty Gap ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2006,2.30511093139648,,,0.0,MX,1.0.PGap.1.90usd
